n,k,duration,distance
1,1,0.000000,0.000000
500,1,0.000000,0.000000
1000,1,5.000000,0.000000
1500,1,16.000000,0.000000
2000,1,39.000000,0.000000
2500,1,75.000000,0.000000
3,3,0.000000,8.124039
500,3,0.000000,0.000000
1000,3,5.000000,0.000000
1500,3,17.000000,0.000000
2000,3,40.000000,0.000000
2500,3,77.000000,0.000000
5,5,0.000000,5.567764
500,5,0.000000,0.000000
1000,5,5.000000,0.000000
1500,5,18.000000,0.000000
2000,5,41.000000,0.000000
2500,5,80.000000,0.000000
7,7,0.000000,6.855655
500,7,0.000000,1.000000
1000,7,5.000000,1.000000
1500,7,19.000000,1.000000
2000,7,43.000000,1.000000
2500,7,82.000000,1.000000
9,9,0.000000,6.403124
500,9,0.000000,1.732051
1000,9,6.000000,1.414214
1500,9,19.000000,2.236068
2000,9,44.000000,1.732051
2500,9,84.000000,1.732051
